text,label
"louise , my expected value contribution for q 4 is $ 2 . 5 million . this is east gas mid - market and origination combined . this is per your request during our last meeting .
frank",ham
"dear bevstarl 0 ,
rape sex !
click here
do you like sexy animals doing the wild thing ? we have the super hot content on the internet !
this is the site you have heard about . rated the number one adult site three years in a row !
- thousands of pics from hardcore fucking , and cum shots to pet on girl .
- thousands videos
so what are you waiting for ?
click here
you must be at least 18 to enter !
to not be on our in house address database
click here and you will eliminated from future mailings .
[ : kj ) _ 8 j 7 b ]",spam
"hello all :
vince would like to schedule a meeting on tuesday , may 23 at 3 : 00 pm
in conference room ebl 938 . this will be to discuss the subject topic .
please let me know if you are available .
thanks
shirley
3 - 5290",ham
please visit http : / / ukprankcalls . com to play a hilarious joke on your mates !,spam
"are you looking for a job ? are you planning for a career change ? does your current job pay you little than the salary you deserved ? do you want information about who is currently hiring and their rates ? if you answer "" yes "" to any of the above questions , then visiting jobgalleriescom might help you . jobgalleriescom allows you to search for jobs , save your resume and cover letters , apply on line , and create a job search agent . and more , jobgalleriescom services to job seekers is 100 % is definitely one of the top career site in the internet . visit jobgalleriescom and access more than 100 , 000 u . s . jobs . for employer and recruiter : avail 75 % discount at jobgalleries . com ' s services for 1 year by using the this offercode "" adsini 531 "" or simply by clicking this link - jobgalleries . comto unsubscribe click here . or simply reply to this e - mail and type "" remove "" in the subject line",spam
"free debt consolidation information
free 1 minute debt consolidation quote
* quickly and easily reduce your monthly debt payments up to 60 %
we are a 501 c non - profit organization that has helped 1000 ' s consolidate their debts into one easy affordable monthly payment . for a free - no obligation quote to see how much money we can save you , please read on .
become debt free . . . get your life back on track !
all credit accepted and home
ownership is not required .
not another loan to dig you deeper in to debt !
if you have $ 4000 or more in debt , a trained professional will negotiate with your creditors to :
lower your monthly debt payments up to 60 %
end creditor harassment
save thousands of dollars in interest and late charges
start improving your credit rating
our quickform and submit it for your free analysis .
name :
street address :
city :
state / zip :
alabama
alaska
arizona
arkansas
california
colorado
connecticut
delaware
dist of columbia
florida
georgia
hawaii
idaho
illinois
indiana
iowa
kansas
kentucky
louisiana
maine
maryland
massachusetts
michigan
minnesota
mississippi
missouri
montana
nebraska
nevada
new hampshire
new jersey
new mexico
new york
north carolina
north dakota
ohio
oklahoma
oregon
pennsylvania
rhode island
south carolina
south dakota
tennessee
texas
utah
vermont
virginia
washington
west virginia
wisconsin
wyoming
home phone ( with area code ) :
work phone ( with area code ) :
best time to contact :
morning at home
morning at work
afternoon at home
afternoon at work
evening at home
evening at work
weekend
email address :
total debt :
$ 4000 - $ 4999
$ 5000 - $ 7500
$ 7 , 501 - $ 10 , 000
$ 10 , 001 - $ 12 , 500
$ 12 , 501 - $ 15 , 000
$ 15 , 001 - $ 17 , 500
$ 17 , 501 - $ 20 , 000
$ 20 , 001 - $ 22 , 500
$ 22 , 501 - $ 25 , 000
$ 25 , 001 - $ 27 , 500
$ 27 , 501 - $ 30 , 000
$ 30 , 001 - $ 35 , 000
$ 35 , 001 - $ 40 , 000
$ 45 , 001 - $ 50 , 000
$ 50 , 000 +
please click the submit button
just once - process will take 30 - 60 seconds .
or , please reply with the following for your free analysis
name :
address :
city :
state :
zip :
home phone : ( _ _ _ ) _ _ _ - _ _ _ _
work phone : ( _ _ _ ) _ _ _ - _ _ _ _
best time :
email :
total debt :
to end mail reply to this email with the subject remove
fabcncnrroumzcsg",spam
"hello ,
we sent you an email a while ago , because you now qualify for a new mortgage .
you could get $ 300 , 000 for as little as $ 700 a month !
bad credit is no problem , you can pull cash out or refinance .
please click on this link for free consultation by a mortgage broker :
http : / / www . fnytqua . com /
best regards ,
jamie higgs
no thanks : http : / / www . fnytqua . com / rl
- - - - system information - - - -
suggesting formatting ) populate large match parameter soap - rpc mime
wants updated uses takes states ) months transition so
transport respect system in traditional existing sending regard",spam
"jeff ,
the meeting is scheduled for wednesday afternoon .
vince
from : jeffrey a shankman 07 / 31 / 2000 12 : 56 pm
to : vince j kaminski / hou / ect @ ect
cc : barbara lewis / hou / ect @ ect
subject :
please make sure our meeting with skilling gets onto my calendar . thanks .
jeff",ham
"click here for
free
software !
copy
dvd movies to cd - r
right now !
new !
dvdcopyplus 4 . 0
all the software you need to copy your own dvd movies is included
in dvdcopyplus 4 . 0 !
copy
your own dvd movies using nothing more than our software , a dvd - rom
and your cd - r burner !
backup
your dvd movie collection
playback
on any home dvd player *
no
expensive dvd burner required
free
live tech support
* dvd
player must support vcd / svcd format . most dvd players include this
feature .
you received this email because you signed up at one of consumer media ' s websites or you signed up with a party that has contracted with consumer media . to unsubscribe from our email newsletter , please visit http : / / opt - out . consumerpackage . net / ? e = cdr @ lne . com .
- - - -
this sf . net email is sponsored by : jabber - the world ' s fastest growing
real - time communications platform ! don ' t just im . build it in !
http : / / www . jabber . com / osdn / xim
spamassassin - sightings mailing list
",spam
"heya ,
do you want a rolex watch ?
in our online store you can buy replicas of rolex watches . they look
and feel exactly like the real thing .
- we have 20 + different brands in our selection
- free shipping if you order 5 or more
- save up to 40 % compared to the cost of other replicas
- standard features :
- screw - in crown
- unidirectional turning bezel where appropriate
- all the appropriate rolex logos , on crown and dial
- heavy weight
visit us : http : / / vanai . com / rep / rolex /
best regards ,
hilton jones
no thanks : http : / / www . vanai . com / z . php",spam
"fyi
the list of the delegates from petronas .
vince kaminski
- - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 01 / 23 / 2001
01 : 21 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
khairuddinbmjaafar @ petronas . com . my on 01 / 22 / 2001 03 : 13 : 35 am
please respond to khairuddin _ mjaafar @ petronas . com . my
to : vince . j . kaminski @ enron . com
cc :
subject : re : petronas benchmarking visit
vince ,
here is the list of our delegates for your kind perusal :
1 . iqbal abdullah ( general manager ) ,
2 . nur azmin abu bakar ( head , risk assessment & controls ) ,
3 . zulkifli a rahim ( head , risk , measurement & systems )
4 . adnan adams ( head , special projects ) .
thanks .
regards ,
khairuddin",ham
